# Optical n & k TableODB values according to Palik
# Column Entries: wavelength [um], refractive index [1], extinction coefficient [1]
6.7400000E-01,5.1510185E+00,5.3657276E-01
6.7500000E-01,5.1453420E+00,5.3410180E-01
6.7600000E-01,5.1396654E+00,5.3163084E-01
6.7700000E-01,5.1339889E+00,5.2915988E-01
6.7800000E-01,5.1283124E+00,5.2668892E-01
6.7900000E-01,5.1226359E+00,5.2421796E-01
6.8000000E-01,5.1169593E+00,5.2174700E-01
6.8100000E-01,5.1112828E+00,5.1927604E-01
6.8200000E-01,5.1056063E+00,5.1680508E-01
6.8300000E-01,5.0999297E+00,5.1433412E-01
6.8400000E-01,5.0942532E+00,5.1186316E-01
6.8500000E-01,5.0885767E+00,5.0939220E-01
6.8600000E-01,5.0829001E+00,5.0692124E-01
6.8700000E-01,5.0772236E+00,5.0445028E-01
6.8800000E-01,5.0715471E+00,5.0197932E-01
6.8900000E-01,5.0662215E+00,4.9941361E-01
6.9000000E-01,5.0623089E+00,4.9646646E-01
6.9100000E-01,5.0583963E+00,4.9351931E-01
6.9200000E-01,5.0544837E+00,4.9057216E-01
6.9300000E-01,5.0505711E+00,4.8762501E-01
6.9400000E-01,5.0466585E+00,4.8467786E-01
6.9500000E-01,5.0427459E+00,4.8173071E-01
6.9600000E-01,5.0388333E+00,4.7878356E-01
6.9700000E-01,5.0349208E+00,4.7583641E-01
6.9800000E-01,5.0310082E+00,4.7288926E-01
6.9900000E-01,5.0270956E+00,4.6994211E-01
7.0000000E-01,5.0231830E+00,4.6699496E-01
7.0100000E-01,5.0192704E+00,4.6404781E-01
7.0200000E-01,5.0153578E+00,4.6110066E-01
7.0300000E-01,5.0114452E+00,4.5815351E-01
7.0400000E-01,5.0075326E+00,4.5520636E-01
7.0500000E-01,5.0036200E+00,4.5225921E-01
7.0600000E-01,4.9997074E+00,4.4931206E-01
7.0700000E-01,4.9957948E+00,4.4636491E-01
7.0800000E-01,4.9918822E+00,4.4341776E-01
7.0900000E-01,4.9863040E+00,4.4047061E-01
7.1000000E-01,4.9791817E+00,4.3752346E-01
7.1100000E-01,4.9720594E+00,4.3457631E-01
7.1200000E-01,4.9649371E+00,4.3162916E-01
7.1300000E-01,4.9592929E+00,4.2922647E-01
7.1400000E-01,4.9554756E+00,4.2749677E-01
7.1500000E-01,4.9516584E+00,4.2576707E-01
7.1600000E-01,4.9478411E+00,4.2403738E-01
7.1700000E-01,4.9440238E+00,4.2230768E-01
7.1800000E-01,4.9402066E+00,4.2057798E-01
